date,orders,revenue,buyers,avg_check,discount_depth,dow,orders_baseline,orders_ratio,orders_z,orders_uplift_abs,revenue_baseline,revenue_ratio,revenue_z,revenue_uplift_abs,discount_z,spike,deep_discount
2026-08-04,7,84130.0,6,12018.57142857143,0.05307262569832405,1,12.0,0.5833333333333334,-0.6744907594765952,-5.0,114930.0,0.7320107891760201,-0.6480145654713808,-30800.0,-0.03458926971674879,False,False
2026-08-05,6,67110.0,6,11185.0,0.05307262569832405,2,7.0,0.8571428571428571,-0.3750064454232808,-1.0,84130.0,0.7976940449304648,-0.544955462296384,-17020.0,-0.03458926971674879,False,False
2026-08-06,7,62445.0,7,8920.714285714286,0.0,3,6.5,1.0769230769230769,-0.13461769835707516,0.5,75620.0,0.8257736048664375,-0.5008977457396938,-13175.0,-0.6917853943349703,False,False
2026-08-07,5,54995.0,5,10999.0,0.0,4,7.0,0.7142857142857143,-0.5312591310163144,-2.0,67110.0,0.8194754880047683,-0.5107796900495422,-12115.0,-0.6917853943349703,False,False
2026-08-08,35,275015.0,35,7857.571428571428,0.4418994413407821,5,6.5,5.384615384615385,4.5770017441405555,28.5,64777.5,4.245532785303539,4.8648124365918335,210237.5,4.7802370748546394,True,True
2026-08-09,68,524091.67,68,7707.230441176471,0.4418994413407821,6,7.0,9.714285714285714,9.312660061344806,61.0,67110.0,7.809442258977797,10.456698982637318,456981.67,4.7802370748546394,True,True
2026-08-10,29,205590.0,29,7089.310344827586,0.44692737430167595,0,7.0,4.142857142857143,3.2188053232164937,22.0,75620.0,2.7187252049722295,2.469203112078654,129970.0,4.842497760344787,True,True
2026-08-11,12,96330.0,12,8027.5,0.44692737430167595,1,7.0,1.7142857142857142,0.5625096681349211,5.0,84130.0,1.1450136693212885,0.0,12200.0,4.842497760344787,False,True
2026-08-12,14,114930.0,14,8209.285714285714,0.2178770949720671,2,9.5,1.4736842105263157,0.29934725029402237,4.5,90230.0,1.2737448742103514,0.2019833270156655,24700.0,2.0061776435714123,False,True
2026-08-13,9,72810.0,9,8090.0,0.022905027932960897,3,12.0,0.75,-0.492195959618056,-3.0,96330.0,0.7558393023980069,-0.6106268754970553,-23520.0,-0.40815338265763274,False,False
