placement_id,channel,cost,payments,first_touch,last_touch,linear,position_based,time_decay,min,max,verdict,decision_ready
c01_p01_cr1,Физтех лайф,9000.0,8.0,3.664138888888889,2.2059166666666665,2.9350277777777776,2.9350277777777776,2.878152678831681,2.2059166666666665,3.664138888888889,прибыльно при любой модели,True
c01_p01_cr2,Физтех лайф,9000.0,6.0,3.4643888888888887,3.4643888888888887,3.4643888888888887,3.4643888888888887,3.4643888888888887,3.4643888888888887,3.4643888888888887,прибыльно при любой модели,True
c02_p01_cr2,ИТМО мемы,6000.0,3.0,1.0470833333333334,1.9665,1.5067916666666668,1.5067916666666668,1.5295334828001999,1.0470833333333334,1.9665,прибыльно при любой модели,False
c05_p01_cr2,Стажировки РФ,15000.0,7.0,1.7664666666666666,1.4834166666666666,1.6249416666666667,1.6249416666666667,1.6179404110989009,1.4834166666666666,1.7664666666666666,прибыльно при любой модели,True
c04_p01_cr1,Матан выживание,9000.0,3.0,0.3189166666666667,0.9318611111111111,0.6253888888888889,0.6253888888888889,0.6556372837889726,0.3189166666666667,0.9318611111111111,прибыльно при любой модели,False
c06_p01_cr1,Абитуриент 2027,7500.0,2.0,-0.2644666666666667,0.7498666666666667,0.2427,0.2427,0.29275666582848986,-0.2644666666666667,0.7498666666666667,зависит от модели,False
c07_p01_cr1,DS чат,15000.0,4.0,0.07326666666666666,0.5804333333333334,0.32685,0.32685,0.3393947922585593,0.07326666666666666,0.5804333333333334,прибыльно при любой модели,False
c03_p01_cr1,Хочу в BigTech,25000.0,5.0,0.28588,-0.01842,0.13373,0.13373,0.12620312464486458,-0.01842,0.28588,зависит от модели,True
c05_p01_cr1,Стажировки РФ,15000.0,3.0,0.046066666666666665,-0.03865,0.0037083333333333334,0.0037083333333333334,-0.007439448038951135,-0.03865,0.046066666666666665,зависит от модели,False
c08_p01_cr1,Бауманка,11000.0,2.0,-0.11252272727272727,-0.11252272727272727,-0.11252272727272727,-0.11252272727272727,-0.11252272727272727,-0.11252272727272727,-0.11252272727272727,убыточно при любой модели,False
