origin_date,target_date,horizon,model,actual,predicted,error,abs_error,pct_error
2026-08-17,2026-08-18,1,constant,6.0,15.285714285714286,-9.285714285714286,9.285714285714286,154.76190476190476
2026-08-17,2026-08-18,1,moving_average,6.0,8.142857142857142,-2.1428571428571423,2.1428571428571423,35.7142857142857
2026-08-17,2026-08-18,1,seasonal_naive,6.0,12.0,-6.0,6.0,100.0
2026-08-17,2026-08-19,2,constant,5.0,15.285714285714286,-10.285714285714286,10.285714285714286,205.71428571428575
2026-08-17,2026-08-19,2,moving_average,5.0,8.142857142857142,-3.1428571428571423,3.1428571428571423,62.85714285714285
2026-08-17,2026-08-19,2,seasonal_naive,5.0,12.0,-7.0,7.0,140.0
2026-08-17,2026-08-20,3,constant,6.0,15.285714285714286,-9.285714285714286,9.285714285714286,154.76190476190476
2026-08-17,2026-08-20,3,moving_average,6.0,8.142857142857142,-2.1428571428571423,2.1428571428571423,35.7142857142857
2026-08-17,2026-08-20,3,seasonal_naive,6.0,12.0,-6.0,6.0,100.0
2026-08-17,2026-08-21,4,constant,3.0,15.285714285714286,-12.285714285714286,12.285714285714286,409.5238095238096
2026-08-17,2026-08-21,4,moving_average,3.0,8.142857142857142,-5.142857142857142,5.142857142857142,171.42857142857142
2026-08-17,2026-08-21,4,seasonal_naive,3.0,12.0,-9.0,9.0,300.0
2026-08-17,2026-08-22,5,constant,26.0,15.285714285714286,10.714285714285714,10.714285714285714,41.208791208791204
2026-08-17,2026-08-22,5,moving_average,26.0,8.142857142857142,17.857142857142858,17.857142857142858,68.68131868131869
2026-08-17,2026-08-22,5,seasonal_naive,26.0,12.0,14.0,14.0,53.84615384615385
2026-08-17,2026-08-23,6,constant,39.0,15.285714285714286,23.714285714285715,23.714285714285715,60.80586080586081
2026-08-17,2026-08-23,6,moving_average,39.0,8.142857142857142,30.857142857142858,30.857142857142858,79.12087912087912
2026-08-17,2026-08-23,6,seasonal_naive,39.0,12.0,27.0,27.0,69.23076923076923
2026-08-17,2026-08-24,7,constant,19.0,15.285714285714286,3.7142857142857135,3.7142857142857135,19.548872180451124
